Feature,Importance
MA_90_Delay_Rate,0.10430549
MA_30_Delay_Rate,0.10296538
EMA_Delay,0.049204115
Supplier_Risk_Score,0.04681245
Order_Quantity,0.043083366
Month,0.04299176
Route_Volatility,0.042233106
Country_Risk_Score,0.040778253
Days_Scheduled,0.04046229
Transport_Cost,0.038732544
Is_Winter,0.038349506
Day_of_Week,0.03766779
Supplier_ID,0.037319962
Sales_Value,0.037198562
Value_Quantity_Ratio,0.036859557
Warehouse_Centrality,0.036846116
Cost_Benefit_Ratio,0.036183197
Destination_Country,0.035154812
Mode_Risk_Score,0.034629844
Quarter,0.034421273
Priority_Risk,0.031051401
Product_Category,0.028235057
Shipping_Mode,0.02451414
Is_Peak_Season,0.0
Supplier_Centrality,0.0
